rooms,size,level,max_levels,price,district_Мирабадский,district_Мирзо-Улугбекский,district_Олмазорский,district_Сергелийский,district_Учтепинский,district_Чиланзарский,district_Шайхантахурский,district_Юнусабадский,district_Яккасарайский,district_Янгихаётский,district_Яшнободский
1,46.0,2,5,30000.0,0,0,0,0,0,1,0,0,0,0,0
2,50.0,2,4,34500.0,0,0,0,0,0,1,0,0,0,0,0
1,36.0,2,4,27000.0,0,0,0,0,0,1,0,0,0,0,0
4,80.0,6,9,59500.0,0,0,0,0,1,0,0,0,0,0,0
3,72.0,3,9,48000.0,0,0,0,0,1,0,0,0,0,0,0
4,78.0,5,5,47299.0,0,0,0,0,1,0,0,0,0,0,0
2,46.0,4,5,37000.0,0,0,0,0,0,1,0,0,0,0,0
2,60.0,2,4,38000.0,0,0,0,0,0,1,0,0,0,0,0
2,58.0,5,9,29500.0,0,0,1,0,0,0,0,0,0,0,0
2,70.0,2,7,56000.0,0,0,0,0,0,1,0,0,0,0,0
2,68.0,6,9,45000.0,0,0,0,0,0,0,0,0,1,0,0
4,100.0,3,5,61500.0,0,0,0,0,1,0,0,0,0,0,0
3,68.0,5,5,46500.0,0,0,0,0,0,1,0,0,0,0,0
3,70.0,4,12,51000.0,0,0,0,0,1,0,0,0,0,0,0
3,90.0,5,9,58400.0,0,0,0,0,0,1,0,0,0,0,0
3,60.0,5,5,47000.0,0,0,0,0,0,1,0,0,0,0,0
4,80.0,5,5,52500.0,0,0,0,0,1,0,0,0,0,0,0
3,74.0,3,5,50000.0,0,0,0,0,1,0,0,0,0,0,0
2,48.0,2,5,41500.0,0,0,0,0,0,1,0,0,0,0,0
4,94.0,9,9,45000.0,0,0,0,0,0,1,0,0,0,0,0
3,65.0,4,9,47500.0,0,0,0,0,1,0,0,0,0,0,0
4,85.0,3,4,52500.0,0,0,0,0,0,1,0,0,0,0,0
1,42.0,5,5,26000.0,0,0,0,0,1,0,0,0,0,0,0
4,110.0,3,4,105000.0,0,0,0,0,0,1,0,0,0,0,0
3,70.0,4,4,42000.0,0,0,0,0,1,0,0,0,0,0,0
3,68.0,2,5,53500.0,0,0,0,0,0,1,0,0,0,0,0
2,48.0,5,9,23000.0,0,0,0,0,0,0,0,0,1,0,0
1,20.0,3,3,12500.0,0,0,0,0,0,0,0,0,0,0,1
3,110.0,4,7,107000.0,1,0,0,0,0,0,0,0,0,0,0
